font_label,font_file,position,status,store_id,font_image
Cagliostro Regular,productdesigner/fonts/Cagliostro-Regular.ttf,0,1,0,
Cambay Regular,productdesigner/fonts/Cambay-Regular.ttf,0,1,0,
Cambo Regular,productdesigner/fonts/Cambo-Regular.ttf,0,1,0,
Candal,productdesigner/fonts/Candal.ttf,0,1,0,
Cantarell Regular,productdesigner/fonts/Cantarell-Regular.ttf,0,1,0,
CantoraOne Regular,productdesigner/fonts/CantoraOne-Regular.ttf,0,1,0,
Capriola Regular,productdesigner/fonts/Capriola-Regular.ttf,0,1,0,
Carme Regular,productdesigner/fonts/Carme-Regular.ttf,0,1,0,
CarroisGothic Regular,productdesigner/fonts/CarroisGothic-Regular.ttf,0,1,0,
CarroisGothicSC Regular,productdesigner/fonts/CarroisGothicSC-Regular.ttf,0,1,0,
CarterOne,productdesigner/fonts/CarterOne.ttf,0,1,0,
Catamaran Regular,productdesigner/fonts/Catamaran-Regular.ttf,0,1,0,
Caudex Regular,productdesigner/fonts/Caudex-Regular.ttf,0,1,0,
Caveat Regular,productdesigner/fonts/Caveat-Regular.ttf,0,1,0,
CaveatBrush Regular,productdesigner/fonts/CaveatBrush-Regular.ttf,0,1,0,
Cedarville Cursive,productdesigner/fonts/Cedarville-Cursive.ttf,0,1,0,
CevicheOne Regular,productdesigner/fonts/CevicheOne-Regular.ttf,0,1,0,
ChakraPetch Regular,productdesigner/fonts/ChakraPetch-Regular.ttf,0,1,0,
Changa Regular,productdesigner/fonts/Changa-Regular.ttf,0,1,0,
Chango Regular,productdesigner/fonts/Chango-Regular.ttf,0,1,0,
Charm Regular,productdesigner/fonts/Charm-Regular.ttf,0,1,0,
Charmonman Regular,productdesigner/fonts/Charmonman-Regular.ttf,0,1,0,
Chathura Regular,productdesigner/fonts/Chathura-Regular.ttf,0,1,0,
ChauPhilomeneOne Regular,productdesigner/fonts/ChauPhilomeneOne-Regular.ttf,0,1,0,
ChelaOne Regular,productdesigner/fonts/ChelaOne-Regular.ttf,0,1,0,
ChelseaMarket Regular,productdesigner/fonts/ChelseaMarket-Regular.ttf,0,1,0,
Chenla,productdesigner/fonts/Chenla.ttf,0,1,0,
Chewy Regular,productdesigner/fonts/Chewy-Regular.ttf,0,1,0,
Chicle Regular,productdesigner/fonts/Chicle-Regular.ttf,0,1,0,
Chonburi Regular,productdesigner/fonts/Chonburi-Regular.ttf,0,1,0,
Cinzel Regular,productdesigner/fonts/Cinzel-Regular.ttf,0,1,0,
CinzelDecorative Regular,productdesigner/fonts/CinzelDecorative-Regular.ttf,0,1,0,
ClickerScript Regular,productdesigner/fonts/ClickerScript-Regular.ttf,0,1,0,
Coda Regular,productdesigner/fonts/Coda-Regular.ttf,0,1,0,
CodaCaption ExtraBold,productdesigner/fonts/CodaCaption-ExtraBold.ttf,0,1,0,
Codystar Regular,productdesigner/fonts/Codystar-Regular.ttf,0,1,0,
Coiny Regular,productdesigner/fonts/Coiny-Regular.ttf,0,1,0,
Combo Regular,productdesigner/fonts/Combo-Regular.ttf,0,1,0,
Comfortaa Regular,productdesigner/fonts/Comfortaa-Regular.ttf,0,1,0,
ComingSoon Regular,productdesigner/fonts/ComingSoon-Regular.ttf,0,1,0,
ConcertOne Regular,productdesigner/fonts/ConcertOne-Regular.ttf,0,1,0,
Content Regular,productdesigner/fonts/Content-Regular.ttf,0,1,0,
ContrailOne Regular,productdesigner/fonts/ContrailOne-Regular.ttf,0,1,0,
Convergence Regular,productdesigner/fonts/Convergence-Regular.ttf,0,1,0,
Corben Regular,productdesigner/fonts/Corben-Regular.ttf,0,1,0,
Cormorant Regular,productdesigner/fonts/Cormorant-Regular.ttf,0,1,0,
CormorantInfant Regular,productdesigner/fonts/CormorantInfant-Regular.ttf,0,1,0,
CormorantSC Regular,productdesigner/fonts/CormorantSC-Regular.ttf,0,1,0,
CormorantUnicase Regular,productdesigner/fonts/CormorantUnicase-Regular.ttf,0,1,0,
CormorantUpright Regular,productdesigner/fonts/CormorantUpright-Regular.ttf,0,1,0,
Courgette Regular,productdesigner/fonts/Courgette-Regular.ttf,0,1,0,
Cousine Regular,productdesigner/fonts/Cousine-Regular.ttf,0,1,0,
Coustard Regular,productdesigner/fonts/Coustard-Regular.ttf,0,1,0,
CreteRound Regular,productdesigner/fonts/CreteRound-Regular.ttf,0,1,0,
CrimsonText Regular,productdesigner/fonts/CrimsonText-Regular.ttf,0,1,0,
CroissantOne Regular,productdesigner/fonts/CroissantOne-Regular.ttf,0,1,0,
Crushed Regular,productdesigner/fonts/Crushed-Regular.ttf,0,1,0,
Cuprum Regular,productdesigner/fonts/Cuprum-Regular.ttf,0,1,0,
Cutive Regular,productdesigner/fonts/Cutive-Regular.ttf,0,1,0,
CutiveMono Regular,productdesigner/fonts/CutiveMono-Regular.ttf,0,1,0,
DancingScript Regular,productdesigner/fonts/DancingScript-Regular.ttf,0,1,0,
Dangrek,productdesigner/fonts/Dangrek.ttf,0,1,0,
DavidLibre Regular,productdesigner/fonts/DavidLibre-Regular.ttf,0,1,0,
DawningofaNewDay,productdesigner/fonts/DawningofaNewDay.ttf,0,1,0,
DaysOne Regular,productdesigner/fonts/DaysOne-Regular.ttf,0,1,0,
Dekko Regular,productdesigner/fonts/Dekko-Regular.ttf,0,1,0,
Delius Regular,productdesigner/fonts/Delius-Regular.ttf,0,1,0,
DeliusSwashCaps Regular,productdesigner/fonts/DeliusSwashCaps-Regular.ttf,0,1,0,
DellaRespira Regular,productdesigner/fonts/DellaRespira-Regular.ttf,0,1,0,
DenkOne Regular,productdesigner/fonts/DenkOne-Regular.ttf,0,1,0,
Devonshire Regular,productdesigner/fonts/Devonshire-Regular.ttf,0,1,0,
Dhurjati Regular,productdesigner/fonts/Dhurjati-Regular.ttf,0,1,0,
Diplomata Regular,productdesigner/fonts/Diplomata-Regular.ttf,0,1,0,
