font_label,font_file,position,status,store_id,font_image
Montserrat Regular,productdesigner/fonts/Montserrat-Regular.ttf,0,1,0,
MuktaVaani Regular,productdesigner/fonts/MuktaVaani-Regular.ttf,0,1,0,
MysteryQuest Regular,productdesigner/fonts/MysteryQuest-Regular.ttf,0,1,0,
NanumGothicCoding Regular,productdesigner/fonts/NanumGothicCoding-Regular.ttf,0,1,0,
NanumPenScript Regular,productdesigner/fonts/NanumPenScript-Regular.ttf,0,1,0,
Neucha,productdesigner/fonts/Neucha.ttf,0,1,0,
Neuton Regular,productdesigner/fonts/Neuton-Regular.ttf,0,1,0,
Nobile Regular,productdesigner/fonts/Nobile-Regular.ttf,0,1,0,
NotoSans Regular,productdesigner/fonts/NotoSans-Regular.ttf,0,1,0,
NotoSansJP Regular,productdesigner/fonts/NotoSansJP-Regular.otf,0,1,0,
NotoSansSC Regular,productdesigner/fonts/NotoSansSC-Regular.otf,0,1,0,
NovaMono,productdesigner/fonts/NovaMono.ttf,0,1,0,
NovaRound,productdesigner/fonts/NovaRound.ttf,0,1,0,
NovaSlim,productdesigner/fonts/NovaSlim.ttf,0,1,0,
NTR Regular,productdesigner/fonts/NTR-Regular.ttf,0,1,0,
Oldenburg Regular,productdesigner/fonts/Oldenburg-Regular.ttf,0,1,0,
OleoScript Regular,productdesigner/fonts/OleoScript-Regular.ttf,0,1,0,
OpenSans Regular,productdesigner/fonts/OpenSans-Regular.ttf,0,1,0,
OpenSansCondensed Light,productdesigner/fonts/OpenSansCondensed-Light.ttf,0,1,0,
Oswald Regular,productdesigner/fonts/Oswald-Regular.ttf,0,1,0,
PalanquinDark Regular,productdesigner/fonts/PalanquinDark-Regular.ttf,0,1,0,
PatrickHand Regular,productdesigner/fonts/PatrickHand-Regular.ttf,0,1,0,
PaytoneOne Regular,productdesigner/fonts/PaytoneOne-Regular.ttf,0,1,0,
PinyonScript Regular,productdesigner/fonts/PinyonScript-Regular.ttf,0,1,0,
Playball Regular,productdesigner/fonts/Playball-Regular.ttf,0,1,0,
PlayfairDisplay Regular,productdesigner/fonts/PlayfairDisplay-Regular.ttf,0,1,0,
PlayfairDisplaySC Regular,productdesigner/fonts/PlayfairDisplaySC-Regular.ttf,0,1,0,
PT_Sans Narrow Web Regular,productdesigner/fonts/PT_Sans-Narrow-Web-Regular.ttf,0,1,0,
PT_Sans Web Regular,productdesigner/fonts/PT_Sans-Web-Regular.ttf,0,1,0,
PT_Serif Web Regular,productdesigner/fonts/PT_Serif-Web-Regular.ttf,0,1,0,
Quattrocento Regular,productdesigner/fonts/Quattrocento-Regular.ttf,0,1,0,
Quintessential Regular,productdesigner/fonts/Quintessential-Regular.ttf,0,1,0,
Rajdhani Regular,productdesigner/fonts/Rajdhani-Regular.ttf,0,1,0,
Raleway Regular,productdesigner/fonts/Raleway-Regular.ttf,0,1,0,
RalewayDots Regular,productdesigner/fonts/RalewayDots-Regular.ttf,0,1,0,
Ramabhadra Regular,productdesigner/fonts/Ramabhadra-Regular.ttf,0,1,0,
Rambla Regular,productdesigner/fonts/Rambla-Regular.ttf,0,1,0,
Rasa Regular,productdesigner/fonts/Rasa-Regular.ttf,0,1,0,
Redressed Regular,productdesigner/fonts/Redressed-Regular.ttf,0,1,0,
ReenieBeanie,productdesigner/fonts/ReenieBeanie.ttf,0,1,0,
RobotoCondensed Regular,productdesigner/fonts/RobotoCondensed-Regular.ttf,0,1,0,
RobotoSlab Regular,productdesigner/fonts/RobotoSlab-Regular.ttf,0,1,0,
RockSalt Regular,productdesigner/fonts/RockSalt-Regular.ttf,0,1,0,
Rosarivo Regular,productdesigner/fonts/Rosarivo-Regular.ttf,0,1,0,
RougeScript Regular,productdesigner/fonts/RougeScript-Regular.ttf,0,1,0,
RozhaOne Regular,productdesigner/fonts/RozhaOne-Regular.ttf,0,1,0,
Ruda Regular,productdesigner/fonts/Ruda-Regular.ttf,0,1,0,
Ruluko Regular,productdesigner/fonts/Ruluko-Regular.ttf,0,1,0,
Rye Regular,productdesigner/fonts/Rye-Regular.ttf,0,1,0,
Sacramento Regular,productdesigner/fonts/Sacramento-Regular.ttf,0,1,0,
Sail Regular,productdesigner/fonts/Sail-Regular.ttf,0,1,0,
Saira Regular,productdesigner/fonts/Saira-Regular.ttf,0,1,0,
SairaCondensed Regular,productdesigner/fonts/SairaCondensed-Regular.ttf,0,1,0,
SairaSemiCondensed Regular,productdesigner/fonts/SairaSemiCondensed-Regular.ttf,0,1,0,
Sanchez Regular,productdesigner/fonts/Sanchez-Regular.ttf,0,1,0,
SawarabiMincho Regular,productdesigner/fonts/SawarabiMincho-Regular.ttf,0,1,0,
ShadowsIntoLightTwo Regular,productdesigner/fonts/ShadowsIntoLightTwo-Regular.ttf,0,1,0,
ShareTech Regular,productdesigner/fonts/ShareTech-Regular.ttf,0,1,0,
SigmarOne Regular,productdesigner/fonts/SigmarOne-Regular.ttf,0,1,0,
SignikaNegative Regular,productdesigner/fonts/SignikaNegative-Regular.ttf,0,1,0,
Simonetta Regular,productdesigner/fonts/Simonetta-Regular.ttf,0,1,0,
Sintony Regular,productdesigner/fonts/Sintony-Regular.ttf,0,1,0,
Slabo27px Regular,productdesigner/fonts/Slabo27px-Regular.ttf,0,1,0,
Snippet,productdesigner/fonts/Snippet.ttf,0,1,0,
SortsMillGoudy Regular,productdesigner/fonts/SortsMillGoudy-Regular.ttf,0,1,0,
SourceSansPro Regular,productdesigner/fonts/SourceSansPro-Regular.ttf,0,1,0,
SpecialElite Regular,productdesigner/fonts/SpecialElite-Regular.ttf,0,1,0,
Spectral Regular,productdesigner/fonts/Spectral-Regular.ttf,0,1,0,
SquadaOne Regular,productdesigner/fonts/SquadaOne-Regular.ttf,0,1,0,
Stalemate Regular,productdesigner/fonts/Stalemate-Regular.ttf,0,1,0,
StintUltraCondensed Regular,productdesigner/fonts/StintUltraCondensed-Regular.ttf,0,1,0,
SwankyandMooMoo,productdesigner/fonts/SwankyandMooMoo.ttf,0,1,0,
Syncopate Regular,productdesigner/fonts/Syncopate-Regular.ttf,0,1,0,
Tangerine Regular,productdesigner/fonts/Tangerine-Regular.ttf,0,1,0,
Teko Regular,productdesigner/fonts/Teko-Regular.ttf,0,1,0,
TheGirlNextDoor,productdesigner/fonts/TheGirlNextDoor.ttf,0,1,0,
Timmana Regular,productdesigner/fonts/Timmana-Regular.ttf,0,1,0,
Tinos Regular,productdesigner/fonts/Tinos-Regular.ttf,0,1,0,
TitilliumWeb Regular,productdesigner/fonts/TitilliumWeb-Regular.ttf,0,1,0,
TradeWinds Regular,productdesigner/fonts/TradeWinds-Regular.ttf,0,1,0,
Trirong Regular,productdesigner/fonts/Trirong-Regular.ttf,0,1,0,
TulpenOne Regular,productdesigner/fonts/TulpenOne-Regular.ttf,0,1,0,
Ubuntu Regular,productdesigner/fonts/Ubuntu-Regular.ttf,0,1,0,
UnifrakturCook Bold,productdesigner/fonts/UnifrakturCook-Bold.ttf,0,1,0,
Varela Regular,productdesigner/fonts/Varela-Regular.ttf,0,1,0,
Vibur Regular,productdesigner/fonts/Vibur-Regular.ttf,0,1,0,
Vidaloka Regular,productdesigner/fonts/Vidaloka-Regular.ttf,0,1,0,
Viga Regular,productdesigner/fonts/Viga-Regular.ttf,0,1,0,
Volkhov Regular,productdesigner/fonts/Volkhov-Regular.ttf,0,1,0,
Voltaire Regular,productdesigner/fonts/Voltaire-Regular.ttf,0,1,0,
Wallpoet Regular,productdesigner/fonts/Wallpoet-Regular.ttf,0,1,0,
Yantramanav Regular,productdesigner/fonts/Yantramanav-Regular.ttf,0,1,0,
Yellowtail Regular,productdesigner/fonts/Yellowtail-Regular.ttf,0,1,0,
